"ABT","À peu-près"
"ALTM","Altimètre"
"ALT","Altitude"
"AC","Altocumulus"
"ACC","Altocumulus castellanus"
"AS","Altostratus"
"AMD","Modifier, modifié(e, s, es)"
"AMDG","Modifiant"
"AMDT","Modification"
"AMDTS","Modifications"
"AMT","Nébulosité, étendue des nuages"
"AMPN","Amplification"
"AMPD","Amplifié(e, s, es)"
"AMP","Amplifier"
"AMPG","Amplifiant"
"AMPLTD","Amplitude"
"ANAL","Analyse, analyser"
"ANALD","Analysé(e, s, es)"
"ANALG","Analysant"
"AP","Propagation anormale"
"ANTCPT","Anticiper"
"ANTCPTD","Anticipé(e, s, es)"
"ANTCPTG","Anticipant"
"ANTCPTN","Anticipation"
"ANTISL","Île d’Anticosti"
"ACYC","Anticyclonique"
"ACYCLY","Circulation anticyclonique"
"APRNT","Apparent"
"APRNTLY","Apparemment"
"APPR","Sembler"
"APPRNC","Apparence, apparition"
"APPRD","A semblé"
"APPRG","Semblant"
"APCH","Approche, approcher"
"APCHBL","Approchable"
"APCHD","Approché(e, s, es)"
"APCHG","Approchant"
"APRX","Approximatif, approximativement"
"APRXN","Approximation"
"APR","Avril"
"ARTC","Arctique"
"ACC","Centre de contrôle régional"
"AZ","Arizona"
"AR","Arkansas"
"ARND","Autour"
"ARNG","S&#39;organiser pour"
"ARNGD","Arrangé(e, s, es)"
"ARNGMT","Arrangement"
"ARNGG","Organisant"
"ARR","Arrivée, arriver"
"ARRD","Arrivé(e, s, es)"
"ARRG","Arrivant"
"ASAP","Dès que possible"
"ASC","Monter, s&#39;élever, ayant monté, s&#39;étant élevé(e, s, es), montant, s&#39;élevant"
"ASNT","Ascension"
"ASOCT","Associer"
"ASOCTD","Associé(e, s, es)"
"ASOCTG","Associant"
"ASOCTN","Association"
"AT …","À (suivi de l’heure)"
"ATTM","À ce moment"
"ATLC","Atlantique"
"ATMOS","Atmosphère"
"ATND","Assister à"
"ATNDD","Assisté(e, s, es) à"
"ATNDG","Assistant à"
"AUG","Août"
"AURBO","Aurore boréale"
"AWOS","Système automatisé d’observations météorologiques"
"AUTO","Automatique"
"AUTOLY","Automatiquement"
"AVBL","Disponible"
"AVLPEN","Péninsule d’Avalon"
"AVG","Moyen(ne)"
"AVGD","En moyenne à"
"AVGG","Faire la moyenne"
"AVTN","Aviation"
"AIRMET","Avis météorologique pour l’aviation"
"BCK","Reculer"
"BCKD","Reculé(e, s, es)"
"BCKG","Reculant"
"BAFBA","Baie de Baffin"
"BAFISLD","Île de Baffin"
"BLN","Ballon"
"BLNS","Ballons"
"BND","Bande"
"BNDS","Bandes"
"BNKISL","Île Banks"
"BACLIN","Barocline"
"BACLINLY","Baroclinement, barocliniquement"
"BACLINTY","Baroclinicité"
"BARO","Baromètre"
"BAROLY","Barométriquement"
"BATROP","Barotrope"
"BATROPLY","Barotropiquement"
"BOVC","Base du ciel couvert"
"BAFDY","Baie de Fundy"
"BCN","Radiophare"
"BFRTS","Mer de Beaufort"
"BCS","Parce que"
"BECM","Devenir, devenu(e, s, es)"
"BECMG","Devenant"
"BFR","Avant"
"BGN","Commencer, a commencé"
"BGNG","Débutant"
"BHND","Derrière"
"BLW","Au-dessous"
"BNTH","Sous"
"BDA","Bermudes"
"BTR","Meilleur"
"BTN","Entre"
"BTL","Entre les couches"
"BYD","Au-delà"
"BLK","Bloc"
"BLKS","Blocs"
"BL","Souffler"
"BLDU","Chasse-poussière élevée"
"VCBLDU","Chasse-poussière élevée dans les environs"
"BLSA","Chasse-sable élevée"
"VCBLSA","Chasse-sable élevée dans les environs"
"BLSN","Chasse-neige élevée"
"VCBLSN","Chasse-neige élevée dans les environs"
"BDR","Frontière(s)"
"BDRY","Limite(s)"
"BRK","Éclaircie"
"BKNG","Fragmentant"
"BRKS","Éclaircies"
"BRF","Bref"
"BRFLY","Brièvement"
"BC","Colombie Britannique"
"BRD","Large, évasé"
"BCST","Émission radio/télé"
"BRDN","Élargir"
"BRDNG","Élargissant"
"BRDR","Plus grand"
"BRDLY","Généralement"
"BKN","Fragmenté(e, s, es)"
"BLD","Développer"
"BLDG","Développant"
"BLDUP","Se développer, augmenter"
"BLDUPS","Accumulations"
"BLT","Développé(e, s, es), conçu(e, s, es)"
"BULL","Bulletin"
"BULLS","Bulletins"
"VIA","Via, passant par"
"CBTSTR","Détroit de Cabot"
"CA","Californie"
"CAN","Canada, Canadien(ne)"
"CASHLD","Bouclier canadien"
"CNL","Annuler, annulé(e, s, es), annulation, annulant"
"CAPBR","Île du Cape-Breton"
"CARIB","Antilles"
"CASCDS","Cascades"
"CAT","Catégorie(s)"
"CTN","Prudence"
"CIG","Plafond"
"CIGS","Plafonds"
"C","Celsius (degrés)"
"CNTRG","Centrant"
"CM","Centimètre(s)"
"CNTRL","Central"
"CNTRLY","Centralement"
"CNTR","Centre"
"CNTRD","Centré(e, s, es)"
"CNTRS","Centres"
"CHLRBA","Baie-des-Chaleurs"
"CHNC","Chance"
"CHNCS","Chances"
"CHG","Change, changement"
"CHGD","Changé(e, s, es)"
"CHGS","Changes, changements"
"CHGG","Changeant"
"CH","Canal, Canaux"
"CCT","Circuit"
"CCTS","Circuits"
"CRCLT","Circuler"
"CRCLTD","Circulé(e, s, es)"
"CRCLTG","Circulant"
"CRCLTN","Circulation"
"CC","Cirrocumulus"
"CS","Cirrostratus"
"CI","Cirrus"
"CIV","Civil"
"CLR","Clair, dégagé"
"CAT","Turbulence en atmosphère claire"
"CLRD","Dégagé(e, s, es)"
"CLRG","Dégageant"
"CLRLY","Clairement"
"CLR","Formation de glace limpide"
"CLS","Près"
"CLSD","Fermer, fermé(e, s, es), fermant"
"CLSLY","De près"
"CLD","Nuage(s)"
"TOP","Sommet(s) de Nuage"
"CLD AND WX","Nuages et temps"
"CST","Côte"
"CSTLMTNS","Chaine côtière"
"CSTLPSS","Cols côtiers"
"CSTS","Côtes"
"CAA","Advection d&#39;air froid"
"FROPA","Passage d&#39;un front froid"
"CO","Colorado"
"CMA","Virgule"
"CMAH","Tête de la virgule nuageuse"
"CMASC","Virgule nuageuse"
"CMAS","Virgules"
"CMNC","Commence"
"CMNCD","Commencé(e, s, es)"
"CMNCMT","Commencement, début"
"CMNCG","Commençant, débutant"
"COM","Communications"
"CMPL","Complet, compléter, complété(e, s, es), achèvement"
"CMPLLY","Complètement"
"CMPLG","Complétant, terminant"
"CMPLX","Complexe"
"CMPTR","Ordinateur"
"CNCLSN","Conclusion"
"CNCLSNS","Conclusions"
"CONTRAILS","Trainnées de condensation"
"COND","Condition(s)"
"CONFID","Confiant, confiance"
"CNFLNC","Confluence"
"CNFLNT","Confluent"
"CT","Connecticut"
"CSDRBL","Considérable"
"CSDRBLY","Considérablement"
"CTC","Contact"
"CTCD","Contacté(e, s, es)"
"CTCG","Contactant"
"CTCS","Contacts"
"CONT","Continuer, continué(e, s, es)"
"CONS","Continuant, continu"
"CONTR","Contour, isoligne"
"CONTRS","Contours, isolignes"
"CTL","Contrôle"
"CTLD","Contrôlé(e, s, es)"
"CTLG","Contrôlant"
"CVCTN","Convection"
"CVCTV","Convectif"
"CVCTVLY","Par convection"
"CONVRG","Converger"
"CONVRGD","Convergé(e, s, es)"
"CONVRGNC","Convergence"
"CONVRGG","Convergeant"
"CRNGLF","Golfe du Couronnement"
"COR","Correct(e), correction, corrigé(e, s, es)"
"CORG","Corrigeant"
"CRSPND","Correspondre"
"CRSPNDD","Correspondu(e, s, es)"
"CRSPNDNC","Correspondance"
"CRSPNDG","Correspondant"
"CRSPNDLY","En conséquence"
"COV","Couvert, couvert(e, s, es), couvrant"
"XNG","Croisement"
"CB","Cumulonimbus"
"CU","Cumulus"
"CF","Cumulus fractus"
"CRNT","Courant"
"CRNTLY","Maintenant, en ce moment"
"CRV","Courbe"
"CRVS","Courbes"
"CYCGNS","Cyclogénèse"
"CYCLYS","Cyclolyse"
"CYC","Cyclonique"
"CYCLYS","De manière cyclonique"
"CYPHL","Collines de Cyprès"
"DLY","Quotidien"
"DKTS","Dakotas"
"DNG","Danger, dangereux"
"DNGLY","Dangereusement"
"DSH","Pointillé(e, s, es)"
"DVSST","Détroit de Davis"
"DABRK","Aube"
"DALGT","Lumière du jour"
"DATM","Jour"
"DAM","Décamètre(s)"
"DCLRT","Ralentir"
"DCLRTD","Ralenti(e, s, es)"
"DCLTRG","Ralentissant"
"DCLRTN","Ralentissement"
"DEC","Décembre"
"DECID","Décider"
"DECIDD","Décidé(e, s, es)"
"DECIDG","Décidant"
"DECIDN","Décision"
"DP","Profond"
"DPN","Creuser (se)"
"DPNG","S&#39;approfondissant"
"DPR","Plus profond"
"DPLY","Profondément"
"DFNT","Défini, précis"
"DFNTLY","Définitivement"
"DFZN","Zone de déformation"
"DEG","Degré(s)"
"DE","Delaware"
"DLA","Retard, retardé(e, s, es), retardant"
"DLT","Rayer"
"DLTD","Rayé(e, s, es)"
"DLTG","Rayant"
"DLTN","Suppression"
"DNS","Dense"
"DNSR","Plus dense"
"DNSLY","Très, à forte densité"
"DPCT","Décrire"
"DPCTD","Décrit(e, s , es)"
"DPCTG","Décrivant"
"DPCTN","Représentation"
"DPCTNS","Représentations"
"DPT","Profondeur"
"DES","Descendre, descendu(e, s, es), descendant"
"DSNT","Descente"
"DSCRB","Décrire"
"DSCRBD","Décrit(e, s, es)"
"DSCRBG","Décrivant"
"DSCRBN","Description"
"DTCT","Détecter"
"DTCTD","Détecté(e, s, es)"
"DTCTG","Détectant"
"DTCTN","Détection"
"DTCTR","Détecteur"
"DTCTRS","Détecteurs"
"DTRT","Détériorer, détérioré(e, s ,es), se détériorant"
"DTRTN","Détérioration"
"DTRMN","Détermination, délimitation"
"DTRM","Déterminer"
"DTRMD","Déterminé(e, s, es)"
"DTRMG","Déterminant"
"DVLP","Développer"
"DVLPD","Developpé(e, s, es)"
"DVLPG","Se développant"
"DVLPMT","Développement"
"DEV","Dévier, dévié(e, s, es), déviant, déviation"
"DP","Point de rosée"
"DIAGD","Diagnostiqué(e, s, es)"
"DIAGG","Diagnostiquant"
"DIAG","Diagnostic"
"DFCLT","Difficile"
"DFCLTY","Difficulté"
"DIFLNC","Diffluence"
"DIFLNT","Diffluent"
"DIF","Diffus, diffus(e, es), diffusément, diffusant"
"DMSH","Diminuer"
"DMSHD","Diminué(e, s, es)"
"DMSHG","Diminuant"
"DCT","Direct"
"DCTD","Dirigé(e, s, es)"
"DCTG","Dirigeant"
"DCTN","Direction"
"DCTLY","Directement"
"DSAPR","Disparaître"
"DISAPRNC","Disparition"
"DSAPRD","Disparu(e, s, es)"
"DSAPRG","Disparaissant"
"DSCS","Discuter"
"DSCSD","Discuté(e, s, es)"
"DSCSG","Discutant"
"DSCSN","Discussion"
"DSPRL","Dispersion"
"DSPR","Disperser"
"DSPRD","Dispersé(e, s, es)"
"DSPRNT","Dispersement"
"DSPRG","Dispersant"
"DSPLC","Déplacer"
"DSPLCD","Déplacé(e, s, es)"
"DSPLCNT","Déplacement"
"DSPLCG","Déplaçant"
"DISEM","Disséminer"
"DISEMD","Disséminé(e, s, es)"
"DISEMG","Disséminant"
"DISEMN","Dissémination"
"DSIPT","Se dissiper"
"DSIPTD","Dissipé(e, s, es)"
"DSIPTG","Se dissipant"
"DSIPTN","Dissipation"
"DIST","Distant(e, s, es), distance, éloigné(e, s, es)"
"DISTR","Distribuer, diffuser"
"DISTRD","Distribué, diffusé(e, s, es), réparti(e, s, es)"
"DISTRG","Distribuant, diffusant, répartissant"
"DISTRN","Distribution, diffusion, répartition"
"DC","District de Columbia"
"DSTBNC","Perturbation"
"DSTBNCS","Perturbations"
"DIVRG","Diverger"
"DIVRGD","Divergé(e, s, es)"
"DIVRGNC","Divergence"
"DIVRGT","Divergent"
"DIVRGG","Divergeant"
"DVD","Séparer, partager"
"DVDD","Divisé(e, s, es)"
"DVDG","Divisant"
"DVDN","Division"
"DDG","Évitant"
"DOM","Intérieur"
"DOMLY","Intérieurement"
"DMNT","Dominant"
"DMNTGLY","De façon dominante"
"DMNTS","Dominants"
"DMNTD","Dominé(e, s, es)"
"DMNTG","Dominant"
"DPLR","Doppler (radar)"
"DBL","Double"
"DBLD","Doublé(e, s, es)"
"DBLG","Doublant"
"DBT","Doute"
"DBTD","Douté(e, s, es)"
"DBTFL","Douteux"
"DBTG","Doutant"
"DBTS","Doutes"
"DN","Sous"
"DNDFT","Courant d&#39;air descendant"
"DNSLP","Descendant la pente"
"DNSTRM","Aval, descendre le"
"DNWND","Sous le vent"
"DFT","Ébauche, courant (d&#39;air)"
"DFTS","Ébauches, courants (d&#39;air)"
"DRFT","Dériver, dérive"
"DRDU","Chasse-poussière"
"DRSN","Chasse neige"
"DRFTS","Dériver, dérives"
"DZ","Bruine"
"DB","Thermomètre sec"
"DUPLCT","Copie"
"DUPLCTD","Copié(e, s, es)"
"DUPLCTS","Copies"
"DUPLCTG","Copiant"
"DUPLCTN","Reproduction, répétition"
"DUR","Durée"
"DRG","Durant, pendant"
"DURC","En montée"
"DURD","En descente"
"DU","Poussière"
"DS","Tempête de poussière"
"VCDS","Tempête de poussière dans les environs"
"PO","Tourbillon de poussière"
"VCPO","Tourbillon de poussière dans les environs"
"ERLY","Tôt"
"E","Est, Longitude est"
"ERLY","Venant de l&#39;est, de l&#39;est"
"ERN","Est, à l&#39;est"
"ENE","Est-nord-est"
"ESE","Est-sud-est"
"ECTP","Sommet de l&#39;écho"
"ECTPS","Sommets de l&#39;écho"
"EFCT","Effet, résultat, en vigueur"
"EFCTD","Affecté(e, s, es)"
"EFCTG","Affectant"
"EFCTS","Effets, résultats, en vigueur"
"ELEV","Élévation"
"ELEVD","Élevé(e, s, es)"
"ELEVG","Élevant"
"ELISL","Île Ellesmere"
"ELSW","Ailleurs"
"EMBD","Incorporer, encastré(e, s, es)"
"EM","Émission"
"ENDD","Terminé(e, s, es)"
"ENDG","Se terminant"
"ENHNC","Rehausser, rehaussement"
"ENHNCD","Rehaussé(e, s, es)"
"ENHNCG","Rehaussant"
"ENUF","Assez"
"ENR","En route"
"ENTR","Entier"
"ENTRLY","Entièrement"
"EQPT","Équipement"
"ESPLY","Spécialement"
"EST","Estimer, estimé(e, s, es), estimant, estimation"
"EVAP","Évaporé(e, s, es), s&#39;évaporant, évaporation, s&#39;évaporer"
"EVE","Soir"
"EV","Chaque"
"EVDNC","Évidence"
"EXC","Excepté"
"EXCN","Exception"
"XPND","Augmenter, augmentation"
"XPNDD","Augmenté(e, s, es), agrandi(e, s, es)"
"XPNDG","Augmentant"
"XPNDN","Augmentation"
"EXP","Attendre, s&#39;attendre à, attente, attendu(e, s, es), s&#39;attendre à ce que"
"XPOS","Expose"
"XPOSD","Exposé(e, s, es)"
"XPOSG","Exposant"
"EXTD","Prolonger, prolongé(e, s, es), prolongeant"
"XTNSV","Vaste, considérable"
"XTNSVLY","Considérablement"
"EXTDN","Prolongement"
"XTRAP","Extrapolation"
"XTRM","Extrême"
"XTRMLY","Extrêmement"
"FAC","Installations et services"
"FAX","Fac-similé(s)"
"FALG","À la baisse"
"FRTHR","Plus loin, davantage"
"FEAT","Caractéristique"
"FEATS","Caractéristiques"
"FEB","Février"
"FT","Pied(s)"
"FEW","Quelques"
"FLD","Champ(s), terrain(s)"
"FIL","Combler, remplir"
"FILD","Rempli(e, s, es)"
"FILG","Remplissant"
"FST","Premier"
"FLT","Vol(s), envolée"
"FIC","Centre d&#39;information de vol"
"FIR","Région d&#39;information de vol"
"FIS","Service d&#39;information de vol"
"FL","Niveau de vol"
"FPL","Plan(s) de vol"
"FSS","Station(s) d&#39;information de vol"
"FL","Floride"
"FLO","Écoulement"
"FLOD","S’étant écoulé(es)"
"FLOG","S&#39;écoulant"
"FLUC","Fluctuer, fluctué(e, s, es), fluctuant, fluctuation"
"FLRYS","Averses de neige"
"FLRY","Averse de neige"
"FLY","Voler, Volant"
"FG","Brouillard"
"VCFG","Brouillard dans les environs"
"PRFG","Brouillard sur une partie de l&#39;aérodrome"
"BCFG","Bancs de brouillard"
"FLW","Suivre, suivi(e, s, es), suivant"
"FTHLS","Contreforts des rocheuses"
"FYI","À titre de renseignement"
"FCST","Prévision(s)"
"FCSTR","Prévisionniste"
"FCSTRS","Prévisionnistes"
"FCSTG","Prévoyant"
"FSTFR","Feu(x) de forêt"
"FRM","Forme"
"FRMT","Format"
"FRMTS","Formats"
"FRMD","Formé(e, s, es)"
"FRMG","Formant"
"FRMS","Formes"
"FWD","Devant, vers l&#39;avant"
"FXBSN","Bassin de Foxe"
"FZ","Geler, gelant"
"FZDZ","Bruine se congelant"
"FZFG","Brouillard verglaçant"
"FZLVL","Niveau de congélation"
"FZRA","Pluie verglaçante"
"FREQ","Fréquence"
"FRQ","Fréquent"
"FRQLY","Fréquemment"
"FRI","Vendredi"
"FM","De (venant de)"
"FRONT","Front(s)"
"FROPA","Passage frontal"
"FNTGNS","Frontogénèse"
"FNTLYS","Frontolyse"
"FROIN","Givre sur l&#39;indicateur"
"FZN","Gelé"
"FUNC","Fonction"
"FUNCS","Fonctions"
"FC","Nuage en entonnoir"
"FUTR","Futur"
"GSPPEN","Gaspésie"
"GEN","Général"
"GENOT","Avis général"
"GENLY","Généralement"
"GA","Georgie"
"GASTR","Détroit de Géorgie"
"GGNBA","Baie Georgienne"
"GV","Donner"
"GVN","Étant donné que"
"GVG","Donnant"
"GP","Alignement de descente"
"GUD","Bon"
"GRAD","Gradient"
"GRDL","Graduel"
"GRDLY","Graduellement"
"GRBNKS","Grand Bancs"
"GFA","Prévision de zone en format graphique"
"GRT","Grand"
"GBRLK","Grand lac de l&#39;Ours"
"GRTLKS","Grands lacs"
"GSVLK","Grand lac des Esclaves"
"GRTLY","Grandement"
"GRNLD","Groenland"
"GND","Sol"
"G/A","Sol-air"
"GRP","Groupe(s)"
"GRPD","Groupé(e, s, es)"
"GRPG","Groupant (regroupant)"
"GDNC","Conseil"
"GD","Guide"
"GDD","Guidé(e, s, es)"
"GDG","Guidant"
"GLF","Golfe"
"GLFALSK","Golfe de l&#39;Alaska"
"GLFMEX","Golfe du Mexique"
"GLFSTLAWR","Golfe du Saint-Laurent"
"G","Rafale (METAR, TAF)"
"GSTY","En rafale"
"HIDGW","Haïda Gwaïi"
"GR","Grêle"
"SHGR","Averse(s) de grêle"
"HLSTO","Grêlon"
"HLSTOS","Grêlons"
"HLF","Demi, moitié"
"HBR","Port"
"HBRS","Ports"
"HCH","Hachuré(e, s, es)"
"HZ","Brume sèche"
"HDG","Tête"
"HDD","Se dirigeant vers"
"HDG","En-tête(s), se dirigeant vers"
"HTG","Chaleur"
"HVYLY","Fortement"
"HVY","Lourd, fort"
"HCSTR","Détroit d’Hecate"
"HPA","Hectopascal(s)"
"HGT","Hauteur(s)"
"HEMIS","Hémisphère(s)"
"HNC","Par conséquent"
"ER","Ici"
"H","Haut, anticyclone"
"HYR","Plus haut, hautement"
"HLTP","Sommet de colline"
"HLTPS","Sommet de collines"
"HISTLY","Historiquement"
"HIST","Histoire"
"HODO","Hodographe"
"HODOS","Hodographes"
"HOL","Congé(s), vacances"
"HRZN","Horizon"
"HRZNTL","Horizontal"
"HRZNTLY","Horizontalement"
"HR","Heure(s)"
"HWVR","Cependant"
"HSNBA","Baie d&#39;Hudson"
"HSNSTR","Détroit d’Hudson"
"HND","Cent, centaine"
"HNDS","Centaines"
"HURCN","Ouragan(s)"
"IC","Cristaux de glace"
"SHPL","Averse(s) de granules de glace"
"PL","Granules de glace"
"ICE","Givrage"
"ICEIC","Givrage dans les nuages"
"ICEIP","Givrage dans les précipitations"
"ID","Idaho"
"ID","Identificateur(s), identifier, identité"
"IDG","Identifiant"
"IL","Ilinois"
"IMT","Immédiat, Immédiatement"
"IMPT","Important"
"IMPTLY","D&#39;importance"
"IMPR","Améliorer, amélioré(e, s, es), améliorant"
"IMPRMT","Amélioration"
"IMPRMTS","Améliorations"
"INC","Dans les nuages"
"INCL","Inclure"
"INCLD","Inclu(e, s, es)"
"INCLG","Incluant"
"INCLN","Inclusion"
"INCOMP","Incomplet"
"INCOMPLY","Incomplètement"
"INCR","Augmenter, augmentation"
"INCRD","Augmenté(e, s, es)"
"INCRG","Augmentant"
"INCRGLY","De plus en plus"
"INDEF","Indéfini"
"INDEFLY","Indéfiniment"
"IN","Indiana"
"INDC","Indiquer"
"INDCD","Indiqué(e, s, es)"
"INDCG","Indiquant"
"INDCN","Indication"
"INFR","Inférieur"
"INFLNC","Influence"
"INFLNCD","Influencé(e, s, es)"
"INFLNCG","Influençant"
"INFO","Information, renseignements"
"SIGMET","Renseignements relatifs aux phénomènes météorologiques en route qui peuvent affecter la sécurité de vol"
"IR","Infrarouge"
"LAN","Intérieur des terres"
"INOP","Inopérant, défectueux"
"INSTBY","Instabilité"
"INSTD","Plutôt, au lieu de"
"INSTR","Instrument(s)"
"IFR","Règles de vol aux instruments"
"INTS","Intense"
"INTSLY","Intensément"
"INTSTN","Intensification"
"INTSF","S’est/se sont intensifié(e, s, es), intensifier (s&#39;intensifier), s&#39;intensifiant"
"INTST","Intensité"
"INTR","Intérieur"
"INTMT","Intermittent"
"INTMTLY","De façon intermittente"
"INTL","International"
"INTLLY","Internationalement"
"INTRP","Interrompre, interruption, Interrompu(e, s, es)"
"INTRPG","Interrompant"
"INT","Intersection(s)"
"INVD","Envahir"
"INVDD","Est/sont envahi(e, s, es)"
"INVDG","Envahissant"
"INVDN","Invasion"
"INVRN","Inversion"
"IA","Iowa"
"ISLD","Île"
"ISLDS","Îles"
"ISBR","Isobare"
"ISBRS","Isobares"
"ISOL","Isoler, isolé(e, s, es), isolant, isolation"
"ISOTRM","Isotherme"
"ISOTRMS","Isothermes"
"JMSBA","Baie james"
"JAN","Janvier"
"JTST","Courant-jet"
"JDFSTR","Détroit Juan de Fuca"
"JUL","Juillet"
"JCTN","Jonction"
"JCTNS","Jonctions"
"JUN","Juin"
"KS","Kansas"
"KWTN","Keewatin"
"KY","Kentucky"
"KG","Kilogramme(s)"
"KHZ","Kilohertz(s)"
"KM","Kilomètre(s)"
"KMH","Kilomètre à l&#39;heure"
"KPA","Kilopascal(s)"
"KTKMT","Kitikmeot"
"KVLQ","Kivalliq"
"KT","Nœud(s)"
"LABRDR","Labrador"
"LK","Lac"
"LKATH","Lac Athabasca"
"LKER","Lac Érié"
"LKHRN","Lac Huron"
"LKON","Lac Ontario"
"LKSUPR","Lac Supérieur"
"LKWPG","Lac Winnipeg"
"LKS","Lacs"
"LD","Terre, atterrir"
"LDD","Atterri(e, s, es) (au sol)"
"LDG","Atterrissage"
"LRG","Grand"
"LRGLY","Grandement"
"LRGR","Plus grand"
"LTR","Plus tard"
"LAT","Latitude"
"LYR","Couche(s), en couches"
"LVE","Partir, partant de"
"LEE","Sous le vent"
"LEN","Longeur"
"LENT","Lenticulaire"
"LVL","Niveau(x), uni"
"LFT","Soulèvement"
"LFTD","Soulevé(e, s, es)"
"LI","Indice de soulèvement"
"LFTG","Soulevant"
"LGT","Léger, lumière"
"LV","Léger et variable"
"LTNG","Éclair, foudre"
"LTGCC","Éclair de nuage à nuage"
"LTGCG","Éclair de nuage au sol"
"LTGIC","Éclair dans les nuages"
"LTNGS","Éclaires, foudres"
"LKLY","Probablement"
"LT","Limite"
"LTD","Limité(e, s, es)"
"LTG","Limitant"
"LTS","Limites"
"LINE","Ligne(s)"
"LTL","Peu, petit"
"LCA","Local, localement, emplacement, situé(e, s, es)"
"LG","Long"
"LGRG","À long terme"
"LGRGMT","Monts Long Range"
"LGR","Plus long"
"LONG","Longitude"
"LGWV","Grande onde"
"LGWVS","Grandes ondes"
"LA","Lousiane"
"L","Dépression, bas(e, es)"
"LIFR","IFR inférieur"
"L LVL JET","Jet à bas niveau"
"L LVL WS","Cisaillement du vent à bas niveaux"
"LWR","Plus bas, inférieur"
"MCKNZ","Mackenzie"
"MAG","Magnétique"
"ME","Maine"
"MNLD","Continent"
"MNLY","Principalement"
"MNTN","Maintenir, maintenu(e, s, es), Manitenant"
"MAINT","Entretien"
"MB","Manitoba"
"MANL","Manuel"
"MANLS","Manuels"
"MAR","Mars"
"MRGL","Marginal"
"MVFR","VFR marginal"
"MRGLY","Marginalement"
"MRTM","Maritime"
"MD","Maryland"
"MA","Massachusetts"
"MAX","Maximum"
"TX","Température maximale (TAF)"
"MAY","Mai"
"MSL","Niveau moyen de la mer"
"MSR","Mesure"
"MSRD","Mesuré(e, s, es)"
"MSRNT","Mesure"
"MSRNTS","Mesures"
"MSRS","Mesures"
"MSRG","Mesurant"
"MECH","Mécanique"
"MECHLY","Mécaniquement"
"MHZ","Mégahertz(s)"
"MRG","Joindre, réunir"
"MRGD","Joint(e, s, es)"
"MRGG","Se joignant"
"MESO","Moyenne échelle"
"MSG","Message(s)"
"MET","Météorologique"
"MWO","Centre(s) de veille météorologique"
"M","Mètre(s)"
"MPS","Mètres par seconde"
"MTU","Unités métriques"
"MI","Michigan"
"MID","Milieu"
"MIDNGT","Minuit"
"MPH","Milles à l&#39;heure"
"MB","Millibar(s)"
"MNM","Minimum"
"TN","Température minimum (TAF)"
"MN","Minnesota"
"MIN","Minute(s)"
"MISD","Manqué(e, s, es)"
"MISG","Manquant, absent"
"MS","Mississippi"
"MISSIRVR","Rivière Mississippi"
"MO","Missouri"
"BR","Brume"
"MX","Formation de glace mêlée (opaque et limpide)"
"MXG","Mélangeant, de mélange"
"MXTR","Mélange"
"MOD","Modéré, modéré(e, s, es), modérant, modération"
"MDFYN","Modification"
"MDFYD","Modifié(e, s, es)"
"MDFY","Modifier"
"MDFYG","Modifiant"
"MST","Humide"
"MSTR","Humidité"
"MON","Lundi"
"MNT","Contrôle, contrôlé(e, s, es)"
"MT","Montana"
"MRNG","Matin, matinée"
