"A/A","Air-to-Air"
"DP","Dew Point"
"DPCT","Depict"
"DPCTD","Depicted"
"DPCTG","Depicting"
"DPCTN","Depiction"
"DPCTNS","Depictions"
"DPLR","Doppler (Radar)"
"DPLY","Deeply"
"DPN","Deepen"
"DPNG","Deepening"
"DPR","Deeper"
"DPT","Depth"
"DRDU","Drifting Dust"
"DRFT","Drift, Drifting"
"DRFTS","Drifts"
"DRSN","Drifting Snow"
"DS","Dust Storm"
"DSAPR","Disappear"
"DSAPRD","Disappeared"
"DSAPRG","Disappearing"
"DSCRB","Describe"
"DSCRBD","Described"
"DSCRBG","Describing"
"DSCRBN","Description"
"DSCS","Discuss"
"DSCSD","Discussed"
"DSCSG","Discussing"
"DSCSN","Discussion"
"DSH","Dashed"
"DSIPT","Dissipate"
"DSIPTD","Dissipated"
"DSIPTG","Dissipating"
"DSIPTN","Dissipation"
"DSNT","Descent"
"DSPLC","Displace"
"DSPLCD","Displaced"
"DSPLCG","Displacing"
"DSPLCNT","Displacement"
"DSPR","Disperse"
"DSPRD","Dispersed"
"DSPRG","Dispersing"
"DSPRL","Dispersal"
"DSPRNT","Dispersement"
"DSTBNC","Disturbance"
"DSTBNCS","Disturbances"
"DTCT","Detect"
"DTCTD","Detected"
"DTCTG","Detecting"
"DTCTN","Detection"
"DTCTR","Detector"
"DTCTRS","Detectors"
"DTRM","Determine"
"DTRMD","Determined"
"DTRMG","Determining"
"DTRMN","Determination"
"DTRT","Deteriorate, Deteriorated, Deteriorating"
"DTRTN","Deterioration"
"DU","Dust"
"DUPLCT","Duplicate"
"DUPLCTD","Duplicated"
"DUPLCTG","Duplicating"
"DUPLCTN","Duplication"
"DUPLCTS","Duplicates"
"DUR","Duration"
"DURC","During Climb"
"DURD","During Descent"
"DRG","During"
"DVD","Divide"
"DVDD","Divided"
"DVDG","Dividing"
"DVDN","Division"
"DVLP","Develop"
"DVLPD","Developed"
"DVLPG","Developing"
"DVLPMT","Development"
"DVSST","Davis Strait"
"DZ","Drizzle"
"E","East, Eastern longitude"
"ECTP","Echo Top"
"ECTPS","Echo Tops"
"EFCT","Effect"
"EFCTD","Effected"
"EFCTG","Effecting"
"EFCTS","Effects"
"ELEV","Elevation, Elevate"
"ELEVD","Eleveted"
"ELEVG","Eleveting"
"ELISL","Ellesmere Island"
"ELSW","Elsewhere"
"EM","Emission"
"EMBD","Embed, Embedded"
"ENDD","Ended"
"ENDG","Ending"
"ENE","East-Northeast"
"ENHNC","Enhance, Enhancement"
"ENHNCD","Enhanced"
"ENHNCG","Enhancing"
"ENR","En-Route"
"ENTR","Entire"
"ENTRLY","Entirely"
"ENUF","Enough"
"EQPT","Equipment"
"ER","Here"
"ERLY","Easterly"
"ERLY","Early"
"ERN","Eastern"
"ESE","East-Southeast"
"ESPLY","Especially"
"EST","Estimate, Estimated, Estimating, Estimation"
"EVAP","Evaporation, Evaporate, Evaporated, Evaporating"
"EVDNC","Evidence"
"EVE","Evening"
"EV","Every"
"EXC","Except"
"EXCN","Exception"
"EXTD","Extend, Extended, Extending"
"EXTDN","Extention"
"EXP","Expect, Expected, Expecting,
				Expectation"
"FAC","Facilities"
"FALG","Falling"
"FAX","Facsimile(s)"
"FC","Funnel Cloud"
"+FC","Tornado(es)"
"+FC","Waterspout(s) (METAR)"
"FCST","Forecast(s)"
"FCSTG","Forecasting"
"FCSTR","Forecaster"
"FCSTRS","Forecasters"
"FEAT","Feature"
"FEATS","Features"
"FEB","February"
"FEW","Few"
"FG","Fog"
"FIC","Flight Information Centre"
"FIL","Fill"
"FILD","Filled"
"FILG","Filling"
"FIR","Flight Information Region"
"FIS","Flight Information Service"
"FL","Flight Level"
"FL","Florida"
"FLD","Field(s)"
"FLO","Flow"
"FLOD","Flowed"
"FLOG","Flowing"
"FLRY","Flurry"
"FLRYS","Flurries"
"FLT","Flight(s)"
"FLUC","Fluctuate, Fluctuated, Fluctuating,	Fluctuation"
"FLW","Follow, Followed,
				Following"
"FLY","Fly, Flying"
"FM","From"
"FRONT","Front(s)"
"FNTGNS","Frontogenesis"
"FNTLYS","Frontolysis"
"FPL","Flight Plan(s)"
"FREQ","Frequency"
"FRI","Friday"
"FRM","Form"
"FRMD","Formed"
"FRMG","Forming"
"FRMS","Forms"
"FRMT","Format"
"FRMTS","Formats"
"FROIN","Frost On The Indicator"
"FROPA","Cold Front Passage"
"FROPA","Frontal Passage"
"FRQ","Frequent"
"FRQLY","Frequently"
"FRTHR","Farther, Further"
"FSS","Flight Service Station(s)"
"FST","First"
"FSTFR","Forest Fire(s)"
"FT","Feet, Foot"
"FTHLS","Foothills"
"FU","Smoke"
"FUNC","Function"
"FUNCS","Functions"
"FUTR","Future"
"FWD","Forward"
"FXBSN","Foxe Basin"
"FYI","For Your Information"
"FZ","Freeze, Freezing"
"FZDZ","Freezing Drizzle"
"FZFG","Freezing Fog"
"FZLVL","Freezing Level"
"FZN","Frozen"
"FZRA","Freezing Rain"
"G","Gust (METAR, TAF)
				)f)"
"G/A","Ground-To-Air"
"GA","Georgia"
"GASTR","Georgia Strait"
"GBRLK","Great Bear Lake"
"GD","Guide"
"GDD","Guided"
"GDG","Guiding"
"GDNC","Guidance"
"GEN","General"
"GENLY","Generally"
"GENOT","General Notice"
"GFA","Graphic Area Forecast"
"GGNBA","Georgian Bay"
"GLF","Gulf"
"GLFALSK","Gulf of Alaska"
"GLFMEX","Gulf of Mexico"
"GLFSTLAWR","Gulf of St. Lawrence"
"GND","Ground"
"GP","Glide Path"
"GR","Hail"
"GRAD","Gradient"
"GRBNKS","Grand Banks"
"GRDL","Gradual"
"GRDLY","Gradually"
"GRNLD","Greenland"
"GRP","Group(S)"
"GRPD","Grouped"
"GRPG","Grouping"
"GRT","Great"
"GRTLKS","Great Lakes"
"GRTLY","Greatly"
"GS","Snow Pellets"
"GSPPEN","Gaspé Peninsula"
"GSTY","Gusty"
"GSVLK","Great Slave Lake"
"GUD","Good"
"GV","Give"
"GVG","Giving"
"GVN","Given"
"HBR","Harbour"
"HBRS","Harbours"
"HCH","Hatched"
"HCSTR","Hecate Strait"
"HDD","Headed"
"HDG","Head"
"HDG","Heading(s)"
"HEMIS","Hemisphere(s)"
"HGT","Height(s)"
"H","High"
"HIDGW","Haida Gwaii"
"HIST","History"
"HISTLY","Historically"
"HLF","Half"
"HLSTO","Hailstone"
"HLSTOS","Hailstones"
"HLTP","Hill Top"
"HLTPS","Hill Tops"
"HNC","Hence"
"HND","Hundred"
"HNDS","Hundreds"
"HODO","Hodograph"
"HODOS","Hodographs"
"HOL","Holiday(s)"
"HPA","Hectopascal(s)"
"HR","Hour(s)"
"HRZN","Horizon"
"HRZNTL","Horizontal"
"HRZNTLY","Horizontally"
"HSNBA","Hudson Bay"
"HSNSTR","Hudson Strait"
"HTG","Heating"
"HURCN","Hurricane(s)"
"HVY","Heavy"
"HVYLY","Heavily"
"HWVR","However"
"HYR","Higher, Highly"
"HZ","Haze"
"IA","Iowa"
"IC","Ice Crystals"
"ICE","Icing"
"ICEIC","Icing In Cloud"
"ICEIP","Icing In Precipitation"
"ID","Idaho"
"ID","Identifier(s), Identify,
				Identification"
"IDG","Identifying"
"IFR","Instrument Flight Rules"
"IL","Illinois"
"IMPR","Improve, Improved, Improving"
"IMPRMT","Improvement"
"IMPRMTS","Improvements"
"IMPT","Important"
"IMPTLY","Importantly"
"IMT","Immediate, Immediately"
"IN","Indiana"
"INC","In Cloud"
"INCL","Include"
"INCLD","Included"
"INCLG","Including"
"INCLN","Inclusion"
"INCOMP","Incomplete"
"INCOMPLY","Incompletely"
"INCR","Increase"
"INCRD","Increased"
"INCRG","Increasing"
"INCRGLY","Increasingly"
"INDC","Indicate"
"INDCD","Indicated"
"INDCG","Indicating"
"INDCN","Indication"
"INDEF","Indefinite"
"INDEFLY","Indefinitely"
"INFLNC","Influence"
"INFLNCD","Influenced"
"INFLNCG","Influencing"
"INFO","Information"
"INFR","Inferior"
"INOP","Inoperative"
"INSTBY","Instability"
"INSTD","Instead"
"INSTR","Instrument(s)"
"INT","Intersection(s)"
"INTL","International"
"INTLLY","Internationally"
"INTMT","Intermittent"
"INTMTLY","Intermittently"
"INTR","Interior"
"INTRP","Interrupt, Interruption, Interrupted"
"INTRPG","Interrupting"
"INTS","Intense"
"INTSF","Intensify, Intensifying, Intensified"
"INTSLY","Intensely"
"INTSTN","Intensification"
"INTST","Intensity"
"INVD","Invade"
"INVDD","Invaded"
"INVDG","Invading"
"INVDN","Invasion"
"INVRN","Inversion"
"IR","Infrared"
"ISBR","Isobar"
"ISBRS","Isobars"
"ISLD","Island"
"ISLDS","Islands"
"ISOL","Isolate, Isolated, Isolating, Isolation"
"ISOTRM","Isotherm"
"ISOTRMS","Isotherms"
"JAN","January"
"JCTN","Junction"
"JCTNS","Junctions"
"JDFSTR","Juan De Fuca Strait"
"JMSBA","James Bay"
"JTST","Jetstream"
"JUL","July"
"JUN","June"
"KG","Kilogram(s)"
"KHZ","Kilohertz(s)"
"KM","Kilometer(s)"
"KMH","Kilometers Per Hour"
"KPA","Kilopascal(s)"
"KS","Kansas"
"KT","Knot(s)"
"KTKMT","Kitikmeot"
"KVLQ","Kivalliq"
"KWTN","Keewatin"
"KY","Kentucky"
"L","Low"
"LA","Louisiana"
"LABRDR","Labrador"
"LAN","Inland"
"LAT","Latitude"
"LCA","Local, Locally, location, located"
"LD","Land"
"LDD","Landed"
"LDG","Landing"
"LEE","Lee (Wind)"
"LEN","Length"
"LENT","Lenticular"
"LFT","Lift"
"LFTD","Lifted"
"LFTG","Lifting"
"LG","Long"
"LGR","Longer"
"LGRG","Long Range"
"LGRGMT","Long Range Mountains"
"LGT","Light"
"LGWV","Longwave"
"LGWVS","Longwaves"
"LI","Lifted Index"
"LIFR","Low IFR"
"LINE","Line(s)"
"LK","Lake"
"LKATH","Lake Athabasca"
"LKER","Lake Erie"
"LKHRN","Lake Huron"
"LKLY","Likely"
"LKON","Lake Ontario"
"LKS","Lakes"
"LKSUPR","Lake Superior"
"LKWPG","Lake Winnipeg"
"L LVL JET","Low Level Jet"
"L LVL WS","Low Level Wind Shear"
"LONG","Longitude"
"LRG","Large"
"LRGLY","Largely"
"LRGR","Larger"
"LT","Limit"
"LTD","Limited"
"LTG","Limiting"
"LTGCC","Lightning Cloud to Cloud"
"LTGCG","Lightning Cloud to Ground"
"LTGIC","Lightning In Cloud"
"LTL","Little"
"LTNG","Lightning"
"LTNGS","Lightnings"
"LTR","Later"
"LTS","Limits"
"LV","Light And Variable"
"LVE","Leave, Leaving"
"LVL","Level(s)"
"LWR","Lower"
"LYR","Layer(s), Layered"
"M","Meter(s)"
"MA","Massachusetts"
"MAG","Magnetic"
"MAINT","Maintenance"
"MANL","Manual"
"MANLS","Manuals"
"MAR","March"
"MAX","Maximum"
"MAY","May"
"MB","Manitoba"
"MB","Millibar(s)"
"MCKNZ","Mackenzie"
"MD","Maryland"
"MDFY","Modify"
"MDFYD","Modified"
"MDFYG","Modifying"
"MDFYN","Modification"
"ME","Maine"
"MECH","Mechanical"
"MECHLY","Mechanically"
"MESO","Mesoscale"
"MET","Meteorological"
"METAR","Aerodrome Routine Meteorological Report"
"MHZ","Megahertz(s)"
"MI","Michigan"
"MID","Middle"
"MIDNGT","Midnight"
"MIFG","Shallow Fog"
"MIN","Minute(s)"
"MISD","Missed"
"MISG","Missing"
"MISSIRVR","Mississippi River"
"MN","Minnesota"
"MNLD","Mainland"
"MNLY","Mainly"
"MNM","Minimum"
"MNT","Monitor, Monitored"
"MNTN","Maintain, Maintained, Maintaining"
"MO","Missouri"
"MOD","Moderate, Moderated, Moderating, Moderation"
"MON","Monday"
"MOTN","Motion"
"MOV","Move, Moving, Movement"
"MOVD","Moved"
"MPH","Miles Per Hour"
"MPS","Metre Per Second"
"MRG","Merge"
"MRGD","Merged"
"MRGG","Merging"
"MRGL","Marginal"
"MRGLY","Marginally"
"MRNG","Morning"
"MRTM","Maritime"
"MS","Mississippi"
"MSG","Message(s)"
"MSL","Mean Sea Level"
"MSR","Measure"
"MSRD","Measured"
"MSRG","Measuring"
"MSRNT","Measurement"
"MSRNTS","Measurements"
"MSRS","Measures"
"MST","Moist"
"MSTLY","Mostly"
"MSTR","Moisture"
"MT","Montana"
"MT","Mountain(s)"
"MTU","Metric Units"
"MTW","Mountain Waves"
"MVFR","Marginal VFR"
"MWO","Meteorological Watch Office(s)"
"MX","Mixed type of ice formation (white and
				clear)"
"MXG","Mixing"
"MXTR","Mixture"
"N","North or Northern latitude"
"NAM","North America"
"NAT","North Atlantic"
"NAV","Navigation"
"NB","New Brunswick"
"NBRLDSTR","Northumberland Strait"
"NC","No Change"
"NC","North Carolina"
"ND","North Dakota"
"NE","Nebraska"
"NE","Northeast"
"NEC","Necessary"
"NECLY","Necessarily"
"NEG","Negative"
"NEGLY","Negatively"
"NELY","Northeasterly"
"NERN","Northeastern"
"NEWENG","New England"
"NF","Newfoundland"
"NGT","Night(s)"
"NGTM","Nighttime"
"NH","New Hampshire"
"NIL","None"
"NJ","New Jersey"
"NL","Newfoundland and Labrador"
"NLY","Northerly"
"NM","Nautical Mile(s)"
"NM","New Mexico"
"NML","Normal"
"NMLY","Normally"
"NMRS","Numerous"
"NNE","North-Northeast"
"NNW","North-Northwest"
"NOV","November"
"NP","North Pole"
"NR","Near"
"NR","Number(s)"
"NRG","Nearing"
"NRLY","Nearly"
"NRN","Northern"
"NRSTR","Nares Strait"
"NRW","Narrow"
"NS","Nimbostratus"
"NS","Nova Scotia"
"NSW","Nil Significant Weather"
"NT","Northwest Territories"
"NTFY","Notify"
"NTFYD","Notified"
"NTFYG","Notifying"
"NTFYN","Notification"
"NU","Nunavut"
"NUMCL","Numerical"
"NUMCLY","Numerically"
"NV","Nevada"
"NVA","Negative Vorticity Advection"
"NW","Northwest"
"NWLY","Northwesterly"
"NWRN","Northwestern"
"NXT","Next"
"NY","New York"
"O/R","On Request"
"OBS","Observe, Observed Observation(s),"
"OBSC","Obscure, Obscured, Obscuring"
"OBSCN","Obscuration"
"OBST","Obstruct, Obstacle(s)"
"OBSTD","Obstructed"
"OBSTG","Obstructing"
"OBSTN","Obstruction"
"OCLD","Occlude, Occluded"
"OCLDG","Occluding"
"OCLN","Occlusion"
"OCLNS","Occlusions"
"OCN","Ocean"
"OCNL","Occasional, Occasionally"
"OCNS","Oceans"
"OCR","Occur"
"OCRD","Occurred"
"OCRG","Occurring"
"OCRNC","Occurrence"
"OCT","October"
"OFSHR","Offshore"
"OH","Ohio"
"OHD","Overhead"
"OK","Oklahoma"
"ON","Ontario"
"ONSHR","Onshore"
"OPN","Open, Opened, Opening"
"OPNLY","Openly"
"OPR","Operator(s)"
"OPS","Operation(s)"
"OPSD","Operated"
"OPSG","Operating"
"OR","Oregon"
"ORGPHC","Orographic"
"ORGPHCLY","Orographically"
"ORGZ","Organize"
"ORGZD","Organized"
"ORGZG","Organizing"
"ORGZN","Organization"
"ORIG","Original"
"ORIGLY","Originally"
"ORIGS","Originals"
"ORIGT","Originate"
"ORIGTD","Originated"
"ORIGTG","Originating"
"ORNT","Orient"
"ORNTD","Oriented"
"ORNTG","Orienting"
"ORNTN","Orientation"
"OTLK","Outlook"
"OTP","On Top"
"OTWZ","Otherwise"
"OVC","Overcast"
"OVR","Over"
"OVRLD","Over The Land"
"OVRLP","Overlap"
"OVRLY","Overly"
"OVRN","Overrun"
"OVRND","Overrunned"
"OVRNG","Overrunning"
"OVRNGT","Overnight"
"OVRSEA","Over the Sea"
"OVRSTRS","Over the Straits"
"P","Polar"
"PA","Pennsylvania"
"PAC","Pacific"
"PARA","Paragraph"
"PARL","Parallel"
"PATN","Pattern"
"PATNS","Patterns"
"PCD","Proceed, Proceeding"
"PCPN","Precipitations"
"PCPNS","Precipitations"
"PCRGN","Peace River Region"
"PD","Period"
"PDMT","Predominate, Predominant"
"PDMTD","Predominated"
"PDMTG","Predominating"
"PDMTLY","Predominantly"
"PDS","Periods"
"PE","Prince Edward Island"
"PER","Performance"
"PERM","Permanent"
"PERMLY","Permanently"
"PGTSND","Puget Sound"
"PHS","Phase(s)"
"PIBAL","Pilot Balloon Observation"
"PIREP","Pilot Report(s)"
"PIX","Picture"
"PIXS","Pictures"
"PL","Ice Pellets"
"PLS","Please"
"PNHDL","Panhandle"
"PO","Dust Whirls"
"PO","Sand Whirls"
"POS","Positive"
"POSLY","Positively"
"POSS","Possible, Possibly"
"PRCPL","Principal"
"PRCPLY","Principally"
"PRCTN","Precaution"
"PRCTNS","Precautions"
"PRECD","Precede"
"PRECDD","Preceded"
"PRECDG","Preceding"
"PRECDNC","Precedence"
"PRELIM","Preliminary"
"PREP","Prepare"
"PREPD","Prepared"
"PREPG","Preparing"
"PREPN","Preparation"
"PRES","Pressure"
"PRESFR","Pressure Falling Rapidly"
"PRESRR","Pressure Rising Rapidly"
"PREV","Previous"
"PREVLY","Previously"
"PRFG","Fog Covering Part of the Aerodrome"
"PRFR","Prefer"
"PRFRD","Preferred"
"PRFRG","Preferring"
"PRFRLY","Preferably"
"PRFRNC","Preference"
"PRI","Primary"
